author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/313942680/;Москва;sale;flat;10;20;2;61.0;31000000;Левобережный;Ленинградское шоссе;69к2;Беломорская;Aquatoria
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315274449/;Москва;sale;flat;26;39;3;121.0;109900000;Раменки;Минская ;2;Минская;Долина Сетунь
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/294292628/;Москва;sale;flat;15;15;4;231.3;165858000;Тверской;4-я Тверская-Ямская ;22к2;Маяковская;
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/312680108/;Москва;sale;flat;9;24;2;52.7;16500000;Бескудниковский;Бескудниковский бульвар;21К1;Селигерская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/314973222/;Москва;sale;flat;2;6;4;162.0;89500000;Покровское-Стрешнево;Береговая ;4К5;Стрешнево;Покровский берег
Дмитрий Казаченко;realtor;https://www.cian.ru/sale/flat/315236960/;Москва;sale;flat;8;14;2;53.0;17500000;Люблино;Краснодарская ;10А;Депо;
Ольга Щербакова;realtor;https://www.cian.ru/sale/flat/314236822/;Москва;sale;flat;7;9;3;56.8;19500000;Коптево; Приорова;3;Красный Балтиец;
Тимур Ярыш;realtor;https://www.cian.ru/sale/flat/314500986/;Москва;sale;flat;7;27;2;66.2;54500000;Беговой;Верхняя ;20к1;Белорусская;Суббота
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296127391/;Москва;sale;flat;18;18;5;227.0;189000000;Дорогомилово;Резервный проезд;4;Студенческая;Кутузовский
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/310552984/;Москва;sale;flat;4;6;5;204.0;149000000;Фасадный дом в е Арбата5-комн. квартира;204 м²;4/6 этаж;;
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/314442358/;Москва;sale;flat;17;50;4;136.0;140000000;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
ID 108339180;homeowner;https://www.cian.ru/sale/flat/315289681/;Москва;sale;flat;15;17;1;43.3;13190000;; Липовый Парк;10к3;Коммунарка;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/314013383/;Москва;sale;flat;4;15;3;84.6;185000000;Хамовники;Олсуфьевский переулок;9к1;Фрунзенская;White Khamovniki
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/314953037/;Москва;sale;flat;5;6;3;92.4;76500000;Пресненский;Мерзляковский переулок;13;Арбатская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/313030103/;Москва;sale;flat;5;8;4;100.0;65000000;Гагаринский; Строителей;6К6;Университет;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315022073/;Москва;sale;flat;8;12;2;93.4;59000000;Мещанский;Протопоповский переулок;17С2;Проспект Мира;
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/314488516/;Москва;sale;flat;5;12;2;40.0;15999000;Бутырский; Яблочкова;34;Фонвизинская;
Beri;real_estate_agent;https://www.cian.ru/sale/flat/314751618/;Москва;sale;flat;3;10;3;80.4;44990000;Таганский;Новоспасский переулок;3К2;Пролетарская;
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/314147412/;Москва;sale;flat;19;24;1;41.8;10480000;Ясенево;проезд Одоевского;3К7;Ясенево;
ID 48770547;homeowner;https://www.cian.ru/sale/flat/315317397/;Москва;sale;flat;5;28;1;34.7;24500000;Лефортово;проезд Невельского;1к1;Авиамоторная;Символ
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/314153399/;Москва;sale;flat;14;16;1;34.6;13500000;Хорошевский; Поликарпова;19К2;Беговая;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/311566206/;Москва;sale;flat;2;4;3;72.9;34000000;Тверской;Весковский переулок;4;Новослободская;
Наталья Веселова;realtor;https://www.cian.ru/sale/flat/314217229/;Москва;sale;flat;7;9;2;49.5;16500000;Отрадное; Мусоргского;11Б;Отрадное;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/314097478/;Москва;sale;flat;24;25;4;300.0;179990000;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
ID 182291;real_estate_agent;https://www.cian.ru/sale/flat/315249001/;Москва;sale;flat;10;10;1;39.0;11000000;Выхино-Жулебино;Жулебинский бульвар;6/11;Лермонтовский проспект;
ID 85527692;homeowner;https://www.cian.ru/sale/flat/314222435/;Москва;sale;flat;2;9;1;32.0;14680000;Свиблово; Седова;8К2;Свиблово;
ID 127540127;homeowner;https://www.cian.ru/sale/flat/314356422/;Москва;sale;flat;5;5;2;51.0;23000000;Академический;проспект 60-летия Октября;14;Академическая;
ID 42667294;unknown;https://www.cian.ru/sale/flat/314473613/;Москва;sale;flat;1;8;2;44.9;14800000;Даниловский; Трофимова;4А;Автозаводская;
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/315335450/;Москва;sale;flat;6;6;4;89.0;79990000;Тверской;Трехпрудный переулок;10/2;Тверская;
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/310915198/;Москва;sale;flat;2;6;3;122.1;130000000;Замоскворечье;Большой Ордынский переулок;4С4;Третьяковская;Собрание клубных домов ORDYNKA
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/312554751/;Москва;sale;flat;5;9;3;92.1;112000000;Якиманка;Лаврушинский переулок;17С2;Третьяковская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307783036/;Москва;sale;flat;8;12;3;94.6;45000000;Якиманка;Конный переулок;4;Шаболовская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/311242296/;Москва;sale;flat;1;5;3;78.4;73000000;Хамовники;Пожарский переулок;10;Кропоткинская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308338964/;Москва;sale;flat;2;6;3;131.1;110000000;Тверской; Малая Дмитровка;23/15С2;Пушкинская;
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/315059261/;Москва;sale;flat;5;14;4;156.0;134000000;Хамовники;Оболенский переулок;9К8;Фрунзенская;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/315288286/;Москва;sale;flat;3;4;3;124.0;140000000;Тверской; Петровка;28;Чеховская;
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/314272032/;Москва;sale;flat;7;18;2;81.4;45000000;Хорошево-Мневники;Карамышевская набережная;36;Народное Ополчение;Wellton park
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/310566017/;Москва;sale;flat;2;8;3;80.0;29500000;Пресненский; Пресненский Вал;7С1;Улица 1905 года;
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/314272034/;Москва;sale;flat;5;18;2;79.7;42000000;Хорошево-Мневники;Карамышевская набережная;36;Народное Ополчение;Wellton park
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/314917336/;Москва;sale;flat;4;5;4;120.0;95000000;Замоскворечье;Пятницкая ;43С1;Новокузнецкая;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315442756/;Москва;sale;flat;16;30;3;130.0;53950000;Сокол; Врубеля;8;Панфиловская;Поселок художников
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/312149017/;Москва;sale;flat;10;11;5;265.5;150000000;Крылатское; Крылатские Холмы;47;Крылатское;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315253269/;Москва;sale;flat;14;21;4;141.0;183300000;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
ID 104975303;homeowner;https://www.cian.ru/sale/flat/312155484/;Москва;sale;flat;4;5;2;43.0;13500000;Щукино;Новощукинская ;9;Щукинская;
Smolenka Estate;real_estate_agent;https://www.cian.ru/sale/flat/314551426/;Москва;sale;flat;3;9;4;186.0;176833650;Хамовники;7-й Ростовский переулок;11;Киевская;Дом в Ростовском переулке
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/314784868/;Москва;sale;flat;7;20;2;65.0;40000000;Алексеевский;Новоалексеевская ;16к2;Алексеевская;Серебряный фонтан
Диана Тухбатуллина;realtor;https://www.cian.ru/sale/flat/311851625/;Москва;sale;flat;3;10;1;33.0;9700000;; Золотошвейная;3;Филатов Луг;Цветочные Поляны
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/313841030/;Москва;sale;flat;23;36;2;57.0;35400000;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/313299400/;Москва;sale;flat;35;37;2;59.7;28000000;Раменки;Мосфильмовская ;98к2;Аминьевская;Огни
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/314745543/;Москва;sale;flat;15;15;4;110.2;79000000;Нагатинский затон; Корабельная;3А;Нагатинский Затон;Ривер Парк Коломенское
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/314905510/;Москва;sale;flat;5;34;2;86.3;43000000;Хорошево-Мневники;Карамышевская набережная;2А;Народное Ополчение;Утесов
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/313945749/;Москва;sale;flat;12;13;2;71.0;50000000;Филевский парк; Василисы Кожиной;13;Парк Победы;Квартал апартаментов Match Point
Beri;real_estate_agent;https://www.cian.ru/sale/flat/314604994/;Москва;sale;flat;7;9;3;80.1;73500000;Тверской;Тверская ;15;Тверская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/314846119/;Москва;sale;flat;12;13;2;49.2;31000000;Раменки;проспект Генерала Дорохова;39к1;Поклонная;Собрание клубных домов West Garden
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307962802/;Москва;sale;flat;9;38;3;70.0;30500000;Хорошевский;Хорошевское шоссе;12к1;Беговая;Дом на Беговой
