author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/315264109/;Москва;sale;flat;12;13;1;41.6;33000000;Беговой;Ленинградский проспект;29к4;Динамо;Царская площадь
ID 129229164;homeowner;https://www.cian.ru/sale/flat/315415244/;Москва;sale;flat;2;10;3;75.2;25250000;Марьино;Мячковский бульвар;8;Братиславская;
Лариса  Фирсова;realtor;https://www.cian.ru/sale/flat/315777129/;Москва;sale;flat;13;17;3;75.6;20750000;Ново-Переделкино;Боровское шоссе;20;Боровское шоссе;
ID 124230;unknown;https://www.cian.ru/sale/flat/313658516/;Москва;sale;flat;4;12;3;62.0;15500000;Орехово-Борисово Северное;Ореховый бульвар;21к1;Домодедовская;
ID 128172662;homeowner;https://www.cian.ru/sale/flat/314248921/;Москва;sale;flat;5;14;2;55.4;22000000;Очаково-Матвеевское;Большая Очаковская ;28;Очаково;
Светлана Сальникова;realtor;https://www.cian.ru/sale/flat/314632576/;Москва;sale;flat;2;22;1;37.7;11190000;Солнцево;Производственная ;2к1;Солнцево;
ID 108145341;homeowner;https://www.cian.ru/sale/flat/308533986/;Москва;sale;flat;8;17;3;72.7;19200000;Выхино-Жулебино;Хвалынский бульвар;2;Лермонтовский проспект;
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/312483999/;Москва;sale;flat;7;31;2;80.5;35989000;Кунцево;Ярцевская ;27к1;Молодёжная;O2XYGEN
Светлана Сапронова;realtor;https://www.cian.ru/sale/flat/315235298/;Москва;sale;flat;6;17;2;55.0;15200000;Измайлово;10-я Парковая ;15;Первомайская;
Елена Крысюк;realtor;https://www.cian.ru/sale/flat/311043202/;Москва;sale;flat;16;24;3;102.4;53000000;Раменки; Раменки;20;Мичуринский проспект;
Антон Шестаков;realtor;https://www.cian.ru/sale/flat/315317549/;Москва;sale;flat;9;17;1;39.0;9900000;Южное Бутово;бульвар Адмирала Ушакова;11;Улица Скобелевская;
ID 103801978;unknown;https://www.cian.ru/sale/flat/310992408/;Москва;sale;flat;9;12;3;102.1;43500000;Раменки; Столетова;17;Раменки;Мичуринский
Ксения Сокольская;realtor;https://www.cian.ru/sale/flat/315696431/;Москва;sale;flat;12;17;2;54.0;13990000;Митино;Новотушинский проезд;6К1;Волоколамская;
Квартал Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/315833709/;Москва;sale;flat;21;23;1;42.6;17500000;Чертаново Южное; Академика Янгеля;2;Улица Академика Янгеля;М-House
ID 114256255;realtor;https://www.cian.ru/sale/flat/315797534/;Москва;sale;flat;19;22;3;80.0;21000000;Бибирево;Алтуфьевское шоссе;86;Алтуфьево;
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/313910909/;Москва;sale;flat;4;17;2;51.1;13400000;Некрасовка;Покровская ;23;Некрасовка;Некрасовка-Парк
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315794530/;Москва;sale;flat;12;17;1;38.7;12500000;Теплый Стан;Профсоюзная ;146К1;Тёплый Стан;
ID 26183;realtor;https://www.cian.ru/sale/flat/315327959/;Москва;sale;flat;5;9;4;62.2;14200000;Зябликово;Шипиловская ;50К2;Шипиловская;
Евгений Волков;realtor;https://www.cian.ru/sale/flat/315114511/;Москва;sale;flat;12;16;3;79.0;18998000;Южное Бутово;Скобелевская ;3К1;Улица Скобелевская;
Наталья Андреева;realtor;https://www.cian.ru/sale/flat/315388536/;Москва;sale;flat;8;17;2;54.0;10700000;;проспект Нововатутинский;9;Кедровая;Новые Ватутинки, мкр. Центральный
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315445712/;Москва;sale;flat;4;9;3;51.0;14000000;Ясенево;Новоясеневский проспект;21К1;Новоясеневская;
Наталья Санарова;realtor;https://www.cian.ru/sale/flat/315189593/;Москва;sale;flat;3;9;4;63.0;19900000;Нагатинский затон; Новинки;4К2;Коломенская;
Татьяна Новикова;realtor;https://www.cian.ru/sale/flat/314115051/;Москва;sale;flat;14;17;3;74.5;25500000;Крылатское;Осенний бульвар;5К3;Крылатское;
ID 86873305;homeowner;https://www.cian.ru/sale/flat/310756530/;Москва;sale;flat;9;12;4;105.4;37500000;Нагатинский затон; Новинки;1;Коломенская;
Валентин Романов;realtor;https://www.cian.ru/sale/flat/308469984/;Москва;sale;flat;9;17;3;75.2;17800000;Митино;Митинская ;25К1;Митино;
